artist_name,track_name,release_date,genre,lyrics
Queen,Bohemian Rhapsody,2018-10-19,classic,"Is this the real life? Is this just fantasy? Caught in a landslide, no escape from reality Open your eyes, look up to the skies and see I'm just a poor boy, I need no sympathy Because I'm easy come, easy go, little high, little low Any way the wind blows doesn't really matter to me, to me [Verse 1] Mama, just killed a man Put a gun against his head, pulled my trigger, now he's dead Mama, life had just begun But now I've gone and thrown it all away Mama, ooh, didn't mean to make you cry If I'm not back again this time tomorrow Carry on, carry on as if nothing really matters [Verse 2] Too late, my time has come Sends shivers down my spine, body's aching all the time Goodbye, everybody, I've got to go Gotta leave you all behind and face the truth Mama, ooh (Any way the wind blows) I don't wanna die I sometimes wish I'd never been born at all [Guitar Solo] [Verse 3] I see a little silhouetto of a man Scaramouche, Scaramouche, will you do the Fandango? Thunderbolt and lightning, very, very frightening me (Galileo) Galileo, (Galileo) Galileo, Galileo Figaro magnifico (Oh-oh-oh-oh) But I'm just a poor boy, nobody loves me He's just a poor boy from a poor family Spare him his life from this monstrosity Easy come, easy go, will you let me go? Bismillah, no, we will not let you go (Let him go) Bismillah, we will not let you go (Let him go) Bismillah, we will not let you go (Let me go) Will not let you go (Let me go) Will not let you go (Never, never, never, never let me go) Ah No, no, no, no, no, no, no (Oh, mamma mia, mamma mia) Mamma mia, let me go Beelzebub has a devil put aside for me, for me, for me [Bridge] So you think you can stone me and spit in my eye? So you think you can love me and leave me to die? Oh, baby, can't do this to me, baby Just gotta get out, just gotta get right outta here [Outro] (Ooh) (Ooh, yeah, ooh, yeah) Nothing really matters, anyone can see Nothing really matters Nothing really matters to me Any way the wind blows"
Cody Johnson,'Til You Can't,2021-10-08,classic,"You can tell your old man you'll do some large-mouth fishin' another time You just got too much on your plate to bait and cast a line You can always put a rain check in his hand 'Til you can't [Verse 2] You can keep puttin' off forever with that girl who's heart you hold Swearin' that you'll ask someday further down the road You can always put a diamond on her hand 'Til you can't [Chorus] If you got a chance take it Take it while you got a chance If you got a dream chase it 'Cause a dream won't chase you back If you're gonna love somebody Hold 'em as long and as strong and as close as you can 'Til you can't [Verse 3] There's a box of greasy parts sittin' in the trunk of that sixty-five Still waitin' on you and your grandad to bring it back to life You can always get around to fixin' up that Pontiac 'Til you can't [Chorus] If you got a chance take it Take it while you got a chancе If you got a dream chase it 'Cause a drеam won't chase you back If you're gonna love somebody Hold 'em as long and as strong and as close as you can 'Til you can't [Bridge] So take that phone call from your mama Just talk away 'Cause you'll never know how bad you wanna 'Til you can't some day Don't wait on tomorrow 'cause tomorrow may not show Say your sorry's, I love you's 'Cause, man, you never know [Chorus] If you got a chance take it Take it while you got a chance If you got a dream chase it 'Cause a dream won't chase you back If you're gonna love somebody Hold 'em as long and as strong and as close as you can 'Til you can't Yeah, if you got a chance take it (Take it) Take it while you got a chance If you got a dream chase it 'Cause a dream won't chase you back If you're gonna love somebody Hold 'em as long and as strong and as close as you can 'Til you can't 'Til you can't [Outro] Yeah Take it"
Aretha Franklin,Respect,1967-03-10,classic,"Originally a minor hit by Otis Redding in 1965, Aretha’s “Respect” was given a new… Read More [Written by Otis Redding] [Verse 1] What you want, baby, I got it What you need, do you know I got it? [Chorus] All I'm askin' is for a little respect when you come home (Just a little bit) Hey baby (Just a little bit) when you get home (Just a little bit) mister (Just a little bit) [Verse 2] I ain't gonna do you wrong while you're gone Ain't gon' do you wrong 'cause I don't wanna [Chorus] All I'm askin' is for a little respect when you come home (Just a little bit) Baby (Just a little bit) When you get home (Just a little bit) Yeah (Just a little bit) [Verse 3] I'm about to give you all of my money And all I'm askin' in return, honey Is to give me my propers when you get home [Refrain] (Just a, just a, just a, just a) Yeah, baby (Just a, just a, just a, just a) When you get home (Just a little bit) Yeah (Just a little bit) [Instrumental] [Verse 4] Ooh, your kisses, sweeter than honey And guess what? So is my money [Chorus] All I want you to do for me, is give it to me when you get home (Re, re, re, re) Yeah baby (Re, re, re, re) Whip it to me (Respect, just a little bit) When you get home, now (Just a little bit) [Verse 5] R-E-S-P-E-C-T, find out what it means to me R-E-S-P-E-C-T, take care of T-C-B [Outro] (Sock it to me, sock it to me, sock it to me, sock it to me) A little respect (Sock it to me, sock it to me, sock it to me, sock it to me) Woah, babe (Just a little bit) A little respect (Just a little bit) I get tired (Just a little bit) Keep on tryin' (Just a little bit) You're runnin' out of fools (Just a little bit) And I ain't lyin' (Just a little bit) (Re, re, re, re) Start when you come home (Re, re, re, respect) Or you might walk in (Just a little bit) And find out I'm gone (Just a little bit) I gotta have (Just a little bit) A little respect (Just a little bit)"
Neil Young,Harvest Moon,1992-11-02,classic,Come a little bit closer Hear what I have to say Just like children sleeping We could dream this night away [Pre-Chorus] But there's a full moon rising Let’s go dancing in the light We know where the music's playing Let’s go out and feel the night [Chorus] Because I'm still in love with you I want to see you dance again Because I'm still in love with you On this harvest moon [Verse 2] When we were strangers I watched you from afar When we were lovers I loved you with all my heart [Pre-Chorus] But now it's getting late And the moon is climbing high I want to celebrate See it shining in your eye [Chorus] Because I'm still in love with you I want to see you dance again Because I'm still in love with you On this harvest moon [Harmonica Break] [Chorus] Because I'm still in love with you I want to see you dance again Because I'm still in love with you On this harvest moon
Koe Wetzel,High Road (feat. Jessie Murph),2024-06-07,classic,"I can tell that you're mad And I ain't half surprised about that Since the day that we met It's always who cuts first and never who bleeds last Rumors always turn into yelling and fighting And once it's in your mind, only one way you're driving [Chorus: Koe Wetzel] I know, I know I'ma take the high road, maybe get stoned Have a little too much of something terrible I'ma let you cool down while I walk out You ain't messing me up like the times before I don't need a ticket to your shit show Knock yourself out and hit a new low Well, I'ma take the high road, take the high road, take the high road [Verse 2: Jessie Murph] You don't wanna talk about it, boy, that's no surprisе You come home smelling likе liquor like every other night If I catch you with her, you gon' catch me with him You think I don't hear about it, you better think again You know that rumors always turn into yelling and fighting And once it's in my mind, only one way I'm driving [Chorus: Koe Wetzel & Jessie Murph] You know, I know I'ma take the high road, maybe get stoned Have a little too much of something terrible I'ma let you cool down while I walk out You ain't messing me up like the times before I don't need a ticket to your shit show Knock yourself out and hit a new low Well, I'ma take the high road, take the high road, take the high road Whoa, whoa [Instrumental Break] [Chorus: Koe Wetzel & Jessie Murph] I'ma take the high road, maybe get stoned Have a little too much of something terrible I'ma let you cool down while I walk out You ain't messing me up like the times before And I don't need a ticket to your shit show Knock yourself out and hit a new low Well I'ma take the high road, take the high road, take the high road I'ma take the high road, take the high road, take the high road Oh, yeah, yeah, mm"
Derek & The Dominos,Layla,1970-11-01,classic,"Layla was one of the tracks on… Read More [Opening Instrumental Riff] [Verse 1] What'll you do when you get lonely And nobody's waiting by your side? You've been runnin' and hidin' much too long You know it's just your foolish pride [Chorus] Layla You've got me on my knees Layla I'm begging, darling, please Layla Darling, won't you ease my worried mind? [Verse 2] I tried to give you consolation When your old man had let you down Like a fool, I fell in love with you It turned my whole world upside down [Chorus] Layla You've got me on my knees Layla I'm begging, darling, please Layla Darling, won't you ease my worried mind? [Verse 3] So make the best of the situation Before I finally go insane Please, don't say we'll never find a way And tell me all my love's in vain [Chorus] Layla You've got me on my knees Layla I'm begging, darling, please Layla Darling, won't you ease my worried mind? Layla (Layla) You've got me on my knees Layla I'm begging, darling, please Layla Darling, won't you ease my worried mind? [Instrumental Outro] [Guitar Solo] [Piano Outro]"
Creedence Clearwater Revival,Proud Mary,1969-01-05,classic,"Back in the fall of 1967 — before the release of our… Read More [Verse 1] Left a good job in the city Workin' for the man every night and day And I never lost one minute of sleepin' Worryin' 'bout the way things might have been [Refrain] Big wheel keep on turnin' Proud Mary keep on burnin' Rollin', rollin', rollin' on the river [Verse 2] Cleaned a lot of plates in Memphis Pumped a lot of 'tane down in New Orleans But I never saw the good side of the city Till I hitched a ride on a river boat queen [Refrain] Big wheel keep on turnin' Proud Mary keep on burnin' Rollin', rollin' (Roll on), rollin' on the river [Instrumental break] [Refrain] Rollin', rollin', rollin' on the river [Verse 3] If you come down to the river Bet you gonna find some people who live You don't have to worry 'cause you have no money People on the river are happy to give [Refrain] Big wheel keep on turnin' Proud Mary keep on burnin' Rollin', rollin', rollin' on the river Rollin’ (Roll on), rollin', rollin' on the river Rollin', mm, rollin', mm, rollin' on the river Rollin', rollin', rollin' on the river"
Queen,Killer Queen - Remastered 2011,1974-11-08,classic,"She keeps Moet et Chandon, in her pretty cabinet ""Let them eat cake,"" she says, just like Marie Antoinette A built-in remedy for Khrushchev and Kennedy At anytime an invitation you can't decline Caviar and cigarettes, well versed in etiquette Extraordinarily nice [Chorus] She's a killer queen Gunpowder, gelatine Dynamite with a laser beam Guaranteed to blow your mind Anytime [Post-Chorus] Ooh, recommended at the price Insatiable an appetite Wanna try? [Verse 2] To avoid complications She never kept the same address In conversation She spoke just like a baroness Met a man from China, went down to Geisha Minah (A killer, a killer) Then again incidentally, if you're that way inclined (She's a killer queen) Perfume came naturally from Paris (Naturally) For cars, she couldn't care less, fastidious and precise [Chorus] She's a killer queen Gunpowder, gelatine Dynamite with a laser beam Guaranteed to blow your mind Anytime [Guitar Solo] [Bridge] Drop of a hat, she's as willing as Playful as a pussy cat Then momentarily out of action Temporarily out of gas To absolutely drive you wild, wild She's all out to get you [Chorus] She's a killer queen Gunpowder, gelatine Dynamite with a laser beam Guaranteed to blow your mind Anytime [Outro] Ooh, recommended at the price Insatiable an appetite Wanna try? (Wanna try?)"
Toby Keith,Should've Been A Cowboy,1993-04-20,classic,"I'll bet you've never heard ol' Marshal Dillon say ""Miss Kitty, have you ever thought of runnin' away Settlin' down, would you marry me If I asked you twice and begged you pretty please?"" She'd have said yes in a New York minute They never tied the knot, his heart wasn't in it He just stole a kiss as he rode away He never hung his hat up At Kitty's place [Chorus] I should've been a cowboy I should've learned to rope and ride Wearin' my six-shooter Ridin' my pony on a cattle drive Stealin' the young girls' hearts Just like Gene and Roy Singin' those campfire songs Oh, I should've been a cowboy [Verse 2] I might've had a sidekick with a funny name Runnin' wild through the hills chasin' Jesse James Endin' up on the brink of danger Ridin' shotgun for the Texas Rangers Go west, young man, haven't you been told California's full of whiskey, women and gold Sleepin' out all night beneath the desert stars With a dream in my eye, and a prayer in my heart [Chorus] I should've been a cowboy I should've learned to rope and ride Wearin' my six-shooter Ridin' my pony on a cattle drive Stealin' the young girls' hearts Just like Gene and Roy Singin' those campfire songs Oh, I should've been a cowboy [Guitar Solo] [Chorus] I should've been a cowboy I should've learned to rope and ride I'd be wearin' my six-shooter Ridin' my pony on a cattle drive Stealin' the young girls' hearts Just like Gene and Roy Singin' those campfire songs Oh, I should've been a cowboy [Outro] Yeah, I should've been a cowboy I should've been a cowboy"
Electric Light Orchestra,Last Train to London,1979-05-31,classic,"Discovery… Read More [Verse 1] It was 9:29 9:29, back street, big city The sun was going down, there was music all around It felt so right It was one of those nights One of those nights when you feel the world stop turnin' You were standing there, there was music in the air I should've been away, but I knew I had to stay [Chorus] Last train to London, just headin' out Last train to London, just leavin' town But I really want tonight to last forever I really wanna be with you Let the music play on down the line tonight [Verse 2] It was one of those nights One of those nights when you feel the fire is burnin' Everybody was there, everybody to share It was so right There you were on your own Lookin' like you were the only one around I had to be with you, nothing else that I could do I should've been away, but I knew I had to stay [Chorus] Last train to London, just headin' out Last train to London, just leavin' town But I really want tonight to last forever I really wanna be with you Let the music play on down the line tonight [Instrumental Break] [Bridge] Underneath a starry sky Time was still, but hours must really have rushed by I didn't realize, but love was in your eyes I really should've gone, but love went on and on [Chorus] Last train to London, just headin' out Last train to London (Last train to London), just leavin' town But I really want tonight to last forever I really wanna be with you Let the music play on down the line tonight But I really want tonight to last forever I really wanna be with you Let the music play on down the line tonight [Instrumental Outro]"
Journey,Any Way You Want It,1980,classic,"Any way you want it That's the way you need it Any way you want it [Verse 1] She loves to laugh She loves to sing She does everything She loves to move She loves to groove She loves the loving things [Pre-Chorus] Ooh, all night All night Oh, every night So hold tight Hold tight Ooh, baby, hold tight Oh, she said [Chorus] Any way you want it That's the way you need it Any way you want it She said, Any way you want it That's the way you need it Any way you want it [Verse 2] I was alone I never knew What good love could do Ooh, then we touched Then we sang About the loving things [Pre-Chorus] Ooh, all night All night Oh, every night So hold tight Hold tight Ooh baby, hold tight Oh, she said [Chorus] Any way you want it That's the way you need it Any way you want it I said, any way you want it That's the way you need it Any way you want it [Interlude] [Bridge] She said ohh Hold on Hold on Hold on [Chorus] Oh, she said any way you want it That's the way you need it Any way you want it (Any way) Any way you want it That's the way you need it Any way you want it [Chorus] Oh, she said any way you want it That's the way you need it Any way you want it Any way you want it That's the way you need it Any way you want it [Chorus] Any way you want it That's the way you need it Any way you want it Any way you want it That's the way you need it Any way you want it [Chorus] (Any way) Any way you want it That's the way you need it Any way you want it (Any way) Any way you want it That's the way you need it Any way you want it [Chorus] (Any way) Any way you want it That's the way you need it Any way you want it (Any way) Any way you want it That's the way you need it Any way you want it"
Aerosmith,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",1998-06-23,classic,"Just to hear you breathing Watch you smile while you are sleeping While you're far away and dreaming I could spend my life In this sweet surrender I could stay lost in this moment forever Every moment spent with you is a moment I treasure Don't wanna close my eyes I don't wanna fall asleep 'Cause I'd miss you, babe And I don't wanna miss a thing 'Cause even when I dream of you The sweetest dream would never do I'd still miss you, baby And I don't wanna miss a thing ♪ Lying close to you Feeling your heart beating And I'm wondering what you're drеaming Wondering if it's me you're seeing Thеn I kiss your eyes And thank God we're together And I just wanna stay with you In this moment forever, forever and ever I don't wanna close my eyes I don't wanna fall asleep 'Cause I'd miss you, baby And I don't wanna miss a thing 'Cause even when I dream of you The sweetest dream would never do I'd still miss you, baby And I don't wanna miss a thing And I don't wanna miss one smile I don't wanna miss one kiss I just wanna be with you Right here with you, just like this I just wanna hold you close I feel your heart so close to mine And just stay here in this moment For all the rest of time Yeah (yeah), yeah (yeah), yeah Don't wanna close my eyes Don't wanna fall asleep 'Cause I'd miss you, baby And I don't wanna miss a thing 'Cause even when I dream of you The sweetest dream would never do I'd still miss you, baby And I don't wanna miss a thing I don't wanna close my eyes I don't wanna fall asleep 'Cause I'd miss you, baby And I don't wanna miss a thing 'Cause even when I dream of you The sweetest dream would never do I'd still miss you, baby And I don't wanna miss a thing Don't wanna close my eyes I don't wanna fall asleep, yeah I don't wanna miss a thing"
The Alan Parsons Project,Eye In The Sky,1982-06-01,classic,"Some see the song as about a break up, or more specifically, about falling out of… Read More [Verse 1] Don't think sorry's easily said Don't try turning tables instead You've taken lots of chances before But I ain't gonna give anymore Don't ask me That's how it goes 'Cause part of me knows what you're thinking [Verse 2] Don't say words you're gonna regret Don't let the fire rush to your head I've heard the accusation before And I ain't gonna take any more Believe me The sun in your eyes Made some of the lies worth believing [Chorus] I am the eye in the sky Looking at you I can read your mind I am the maker of rules Dealing with fools I can cheat you blind And I don't need to see any more to know that I can read your mind (Looking at you) I can read your mind (Looking at you) I can read your mind (Looking at you) I can read your mind [Verse 3] Don't leave false illusion behind Don't cry, I ain't changin' my mind So find another fool like before 'Cause I ain't gonna live anymore believin' Some of the lies while all of the signs are deceiving [Chorus] I am the eye in the sky Looking at you I can read your mind I am the maker of rules Dealing with fools I can cheat you blind And I don't need to see anymore to know that I can read your mind (Looking at you) I can read your mind (Looking at you) I can read your mind (Looking at you) I can read your mind [Chorus] I am the eye in the sky Looking at you I can read your mind I am the maker of rules Dealing with fools I can cheat you blind And I don't need to see anymore to know that I can read your mind (Looking at you) I can read your mind (Looking at you) I can read your mind (Looking at you) I can read your mind [Guitar Solo]"
Pink Floyd,Hey You,1979-11-30,classic,"[Verse 1: David Gilmour] Hey, you Out there in the cold, getting lonely, getting old, can you feel me? Hey, you Standing in the aisles with itchy feet and fading smiles, can you feel me? Hey, you, don't help them to bury the light Don't give in without a fight [Verse 2: David Gilmour] Hey, you Out there on your own, sitting naked by the phone, would you touch me? Hey, you With your ear against the wall, waiting for someone to call out, would you touch me? Hey you, would you help me to carry the stone? Open your heart, I'm coming home [Guitar Solo] [Bridge: Roger Waters] But it was only fantasy The wall was too high, as you can see No matter how he tried, he could not break free And the worms ate into his brain [Breakdown] [Verse 3: Roger Waters] Hey, you Out there on the road, always doing what you're told, can you help me? Hey, you Out there beyond the wall, breaking bottles in the hall, can you help me? Hey, you, don't tell me there's no hope at all Together we stand, divided we fall [Outro: Roger Waters] (We fall, we fall, we fall, we fall, we fall, we fall, we fall, we fall...)"
Steely Dan,Do It Again,1972-11-01,classic,"[Verse 1: Donald Fagen] In the mornin' you go gunnin' For the man who stole your water And you fire 'til he is done in But they catch you at the border And the mourners are all sangin' As they drag you by your feet But the hangman isn't hangin' And they put you on the street [Chorus: Donald Fagen] Yeah, you go back, Jack, do it again Wheel turnin' 'round and 'round You go back, Jack, do it again [Verse 2: Donald Fagen] When you know she's no high climber Then you find your only friend In a room with your two timer And you're sure you're near the end Then you love a little wild one And she brings you only sorrow All the time you know she's smilin' You'll be on your knees tomorrow [Chorus: Donald Fagen] Yeah, you go back, Jack, do it again Wheel turnin' 'round and 'round You go back, Jack, do it again [Guitar Solo] [Organ Solo] [Verse 3: Donald Fagen] Now you swear and kick and beg us That you're not a gambling man Then you find you're back in Vegas With a handle in your hand Your black cards can make you money So you hide them when you're able In the land of milk and honey You must put them on the table [Outro: Donald Fagen] Yeah, you go back, Jack, do it again Wheel turnin' 'round and 'round You go back, Jack, do it again [Instrumental outro]"
